Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,StDev
QB,Anthony Brown (28792264),Anthony Brown,28792264,QB,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,4.29,0,0
QB,Case Keenum (28792265),Case Keenum,28792265,QB,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0.16,0,0
RB,Justice Hill (28792563),Justice Hill,28792563,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,2.88,1.356,2.7
RB,Keaton Mitchell (28792565),Keaton Mitchell,28792565,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0,0,0
RB,Owen Wright (28792567),Owen Wright,28792567,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0,0,0
RB,Patrick Ricard (28792569),Patrick Ricard,28792569,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,1.11,0.26,0
RB,Ben Mason (28792571),Ben Mason,28792571,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0,0,0
RB,Mike Boone (28792573),Mike Boone,28792573,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,3.2,0.699,2.205
RB,Dare Ogunbowale (28792575),Dare Ogunbowale,28792575,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,2.86,0,0
RB,Gerrid Doaks (28792577),Gerrid Doaks,28792577,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0,0,0
RB,Troy Hairston (28792581),Troy Hairston,28792581,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0.43,0,0
RB,Andrew Beck (28792583),Andrew Beck,28792583,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0.92,0,0
WR,Zay Flowers (28792719),Zay Flowers,28792719,WR/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0,7.081,6.405
DST,Ravens  (28793575),Ravens ,28793575,DST,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,7.83,8.481,5.61
QB,E.J. Perry (29001013),E.J. Perry,29001013,QB,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0,0,0
QB,Dorian Thompson-Robinson (28792260),Dorian Thompson-Robinson,28792260,QB,4000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0,0,0
QB,Kellen Mond (28792261),Kellen Mond,28792261,QB,4000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0,0,0
QB,Jake Browning (28792262),Jake Browning,28792262,QB,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0,0,0
RB,John Kelly Jr. (28792551),John Kelly Jr.,28792551,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0,0,0
RB,Hassan Hall (28792555),Hassan Hall,28792555,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0,0,0
RB,Trayveon Williams (28792557),Trayveon Williams,28792557,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0.73,1.413,0.255
RB,Jacob Saylors (28792559),Jacob Saylors,28792559,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0,0,0
